"income","education","occupation","type.of.home","ethnic.classification"
"[50,75)","graduate study","professional/managerial","house","hispanic"
"[0,10)","grades 9-11","unemployed","house","hispanic"
"[20,25)","high school graduate","professional/managerial","house","hispanic"
"[25,30)","high school graduate","laborer","house","hispanic"
"[0,10)","grades 9-11","sales","house","hispanic"
"[0,10)","grades 9-11","clerical/service","house","hispanic"
"[30,40)","college (1-3 years)","clerical/service","house","white"
"[0,10)","grades 9-11","student","house","white"
"[25,30)","grades 9-11","sales","apartment","white"
"[0,10)","grades 9-11","student","apartment","asian"
"[0,10)","grades 9-11","student","apartment","asian"
"[0,10)","grade <9","student","house","white"
"[10,15)","high school graduate","professional/managerial","house","white"
"[0,10)","grades 9-11","sales","house","white"
"[40,50)","college graduate","homemaker","house","white"
"[50,75)","college (1-3 years)","sales","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"75+","grades 9-11","sales","house","asian"
"[50,75)","grades 9-11","unemployed","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"75+","grades 9-11","unemployed","house","white"
"[0,10)","grades 9-11","student","house","asian"
"75+","college graduate","professional/managerial","house","white"
"[50,75)","high school graduate","student","house","white"
"75+","graduate study","professional/managerial","house","pacific islander"
"75+","college (1-3 years)","professional/managerial","house","white"
"75+","graduate study","professional/managerial","house","white"
"75+","graduate study","homemaker","house","white"
"[50,75)","college (1-3 years)","homemaker","house","white"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"75+","college (1-3 years)","homemaker","house","white"
"[50,75)","college (1-3 years)","homemaker","apartment","white"
"75+","college (1-3 years)","professional/managerial","house","white"
"[40,50)","college (1-3 years)","student","other","white"
"[40,50)","grades 9-11","homemaker","house","white"
"[30,40)","college (1-3 years)","professional/managerial","house","white"
"[10,15)","college (1-3 years)","sales","house","white"
"[0,10)","grades 9-11","student","house","asian"
"[0,10)","high school graduate","student","house","asian"
"[25,30)","college (1-3 years)","homemaker","house","white"
"[0,10)","college graduate","student","house","other"
"[10,15)","college (1-3 years)","student","house","pacific islander"
"[0,10)","college (1-3 years)","sales","house","white"
"[0,10)","high school graduate","student","house","pacific islander"
"[0,10)","grades 9-11","student","house","asian"
"[0,10)","grades 9-11","student","house","asian"
"[0,10)","grades 9-11","laborer","house","asian"
"[0,10)","grades 9-11","sales","apartment","asian"
"[40,50)","grades 9-11","sales","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","sales","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","high school graduate","unemployed","house","white"
"[25,30)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","college (1-3 years)","clerical/service","house","white"
"[0,10)","college (1-3 years)","student","house","white"
"[10,15)","college (1-3 years)","unemployed","house","white"
"[30,40)","high school graduate","professional/managerial","house","white"
"[30,40)","college (1-3 years)","professional/managerial","apartment","pacific islander"
"[25,30)","college graduate","professional/managerial","house","white"
"[30,40)","college graduate","homemaker","house","white"
"[30,40)","high school graduate","student","house","hispanic"
"[50,75)","college graduate","sales","house","white"
"[50,75)","graduate study","homemaker","house","other"
"[50,75)","graduate study","professional/managerial","house","white"
"[50,75)","college graduate","professional/managerial","house","asian"
"[30,40)","college graduate","professional/managerial","house","hispanic"
"[40,50)","college graduate","professional/managerial","apartment","other"
"[40,50)","college graduate","homemaker","house","white"
"[15,20)","high school graduate","professional/managerial","other","other"
"[50,75)","graduate study","professional/managerial","house","white"
"75+","college (1-3 years)","sales","house","american indian"
"75+","graduate study","professional/managerial","house","asian"
"[50,75)","graduate study","professional/managerial","house","asian"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[50,75)","high school graduate","laborer","house","white"
"75+","college (1-3 years)","professional/managerial","condominium","white"
"[25,30)","college graduate","professional/managerial","house","white"
"[30,40)","college graduate","professional/managerial","house","white"
"[40,50)","high school graduate","sales","house","asian"
"[10,15)","high school graduate","sales","house","asian"
"[30,40)","college (1-3 years)","laborer","other","white"
"[30,40)","high school graduate","professional/managerial","condominium","white"
"[30,40)","college (1-3 years)","professional/managerial","condominium","white"
"[40,50)","college (1-3 years)","professional/managerial","house","white"
"[40,50)","college (1-3 years)","professional/managerial","house","black"
"[30,40)","college (1-3 years)","professional/managerial","apartment","hispanic"
"[20,25)","college (1-3 years)","laborer","apartment","white"
"[40,50)","college graduate","professional/managerial","house","asian"
"[10,15)","college (1-3 years)","homemaker","house","white"
"[40,50)","college (1-3 years)","professional/managerial","apartment","american indian"
"[20,25)","high school graduate","clerical/service","house","white"
"[50,75)","grades 9-11","student","house","white"
"75+","college graduate","professional/managerial","house","asian"
"[50,75)","high school graduate","sales","house","white"
"75+","graduate study","professional/managerial","house","white"
"[50,75)","college graduate","professional/managerial","house","asian"
"[0,10)","college (1-3 years)","unemployed","house","asian"
"[40,50)","high school graduate","homemaker","condominium","white"
"[30,40)","college (1-3 years)","sales","apartment","white"
"75+","college graduate","unemployed","house","white"
"[0,10)","college (1-3 years)","sales","house","white"
"[50,75)","graduate study","homemaker","house","white"
"[40,50)","college graduate","professional/managerial","house","white"
"[50,75)","college (1-3 years)","sales","house","white"
"[30,40)","college (1-3 years)","professional/managerial","condominium","white"
"75+","graduate study","professional/managerial","house","white"
"75+","high school graduate","unemployed","house","white"
"75+","college graduate","homemaker","other","white"
"[40,50)","high school graduate","student","house","white"
"[40,50)","graduate study","professional/managerial","house","white"
"[50,75)","graduate study","professional/managerial","house","white"
"75+","college graduate","professional/managerial","house","white"
"[0,10)","grade <9","student","apartment","white"
"75+","college graduate","professional/managerial","house","white"
"75+","college (1-3 years)","professional/managerial","house","white"
"[0,10)","high school graduate","student","house","white"
"[50,75)","high school graduate","student","house","pacific islander"
"75+","college graduate","homemaker","house","white"
"[0,10)","college (1-3 years)","student","house","white"
"[40,50)","college (1-3 years)","homemaker","house","white"
"[30,40)","college (1-3 years)","professional/managerial","house","white"
"[25,30)","college graduate","laborer","apartment","white"
"[0,10)","high school graduate","student","house","white"
"75+","college graduate","professional/managerial","house","white"
"75+","college (1-3 years)","sales","house","white"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[15,20)","college (1-3 years)","clerical/service","house","asian"
"75+","graduate study","retired","house","white"
"[25,30)","college (1-3 years)","student","house","asian"
"[30,40)","high school graduate","homemaker","house","asian"
"[10,15)","college graduate","clerical/service","house","pacific islander"
"75+","graduate study","professional/managerial","house","black"
"[40,50)","college graduate","professional/managerial","house","white"
"75+","college (1-3 years)","professional/managerial","house","asian"
"[30,40)","college (1-3 years)","professional/managerial","house","white"
"75+","college (1-3 years)","clerical/service","house","white"
"[40,50)","college (1-3 years)","sales","house","hispanic"
"[40,50)","college (1-3 years)","professional/managerial","house","white"
"75+","college (1-3 years)","professional/managerial","house","white"
"[0,10)","college (1-3 years)","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"75+","graduate study","professional/managerial","house","white"
"75+","college (1-3 years)","student","house","white"
"75+","college (1-3 years)","student","house","white"
"[40,50)","college (1-3 years)","laborer","house","hispanic"
"[0,10)","grades 9-11","student","house","asian"
"[0,10)","grades 9-11","unemployed","condominium","white"
"[0,10)","grade <9","student","house","asian"
"[0,10)","college (1-3 years)","student","house","white"
"[30,40)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","college (1-3 years)","student","other","white"
"[0,10)","college (1-3 years)","sales","house","white"
"[20,25)","high school graduate","professional/managerial","house","asian"
"[0,10)","college graduate","unemployed","condominium","white"
"[50,75)","grades 9-11","student","house","white"
"[50,75)","college (1-3 years)","homemaker","house","white"
"75+","graduate study","professional/managerial","condominium","white"
"75+","college (1-3 years)","homemaker","house","white"
"[50,75)","high school graduate","professional/managerial","house","other"
"[50,75)","college (1-3 years)","sales","house","white"
"[25,30)","high school graduate","clerical/service","apartment","white"
"[25,30)","high school graduate","student","apartment","white"
"[0,10)","grades 9-11","student","house","white"
"75+","graduate study","professional/managerial","house","asian"
"[0,10)","high school graduate","clerical/service","house","hispanic"
"75+","high school graduate","professional/managerial","condominium","white"
"[50,75)","college (1-3 years)","student","house","hispanic"
"[25,30)","high school graduate","sales","condominium","white"
"[40,50)","college graduate","unemployed","house","hispanic"
"[40,50)","high school graduate","sales","condominium","white"
"[40,50)","college (1-3 years)","homemaker","house","hispanic"
"75+","college (1-3 years)","sales","house","other"
"[50,75)","college graduate","professional/managerial","house","white"
"75+","college (1-3 years)","student","house","white"
"[30,40)","college (1-3 years)","clerical/service","apartment","white"
"75+","college (1-3 years)","homemaker","house","white"
"[0,10)","grades 9-11","sales","house","white"
"[0,10)","grades 9-11","student","house","white"
"[40,50)","graduate study","professional/managerial","house","white"
"75+","college (1-3 years)","professional/managerial","house","black"
"[50,75)","graduate study","professional/managerial","house","white"
"[50,75)","grades 9-11","student","house","asian"
"[0,10)","grades 9-11","student","house","east indian"
"[0,10)","grades 9-11","student","other","hispanic"
"[10,15)","grades 9-11","sales","condominium","pacific islander"
"75+","graduate study","professional/managerial","condominium","white"
"[25,30)","college (1-3 years)","clerical/service","house","hispanic"
"[0,10)","college (1-3 years)","student","house","white"
"[0,10)","college (1-3 years)","student","house","white"
"75+","graduate study","professional/managerial","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","condominium","white"
"[30,40)","high school graduate","laborer","house","asian"
"[0,10)","college (1-3 years)","student","house","white"
"75+","graduate study","clerical/service","house","white"
"[20,25)","high school graduate","professional/managerial","apartment","black"
"[0,10)","grades 9-11","student","other","other"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[25,30)","college (1-3 years)","professional/managerial","house","black"
"[0,10)","grades 9-11","student","house","black"
"[40,50)","college graduate","student","house","white"
"[40,50)","grades 9-11","sales","house","white"
"[0,10)","high school graduate","student","condominium","white"
"[0,10)","grades 9-11","sales","apartment","white"
"[40,50)","graduate study","professional/managerial","apartment","white"
"[0,10)","high school graduate","unemployed","apartment","hispanic"
"[30,40)","high school graduate","student","house","other"
"75+","college graduate","professional/managerial","house","white"
"[20,25)","high school graduate","laborer","house","white"
"[40,50)","college graduate","professional/managerial","apartment","black"
"[50,75)","college (1-3 years)","clerical/service","house","hispanic"
"[0,10)","grades 9-11","student","house","hispanic"
"[30,40)","grades 9-11","laborer","house","hispanic"
"[25,30)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","grades 9-11","student","condominium","asian"
"[0,10)","grades 9-11","student","apartment","asian"
"[0,10)","grades 9-11","sales","house","hispanic"
"75+","high school graduate","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","asian"
"[20,25)","college (1-3 years)","student","house","hispanic"
"[25,30)","college (1-3 years)","professional/managerial","apartment","white"
"[50,75)","graduate study","professional/managerial","apartment","black"
"[0,10)","grades 9-11","student","house","other"
"[0,10)","high school graduate","sales","apartment","black"
"[25,30)","high school graduate","sales","house","white"
"[0,10)","grades 9-11","unemployed","apartment","hispanic"
"[0,10)","grades 9-11","student","other","white"
"[0,10)","grades 9-11","student","house","hispanic"
"[30,40)","grades 9-11","clerical/service","apartment","white"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","graduate study","clerical/service","house","white"
"[20,25)","high school graduate","professional/managerial","apartment","black"
"[30,40)","high school graduate","clerical/service","house","white"
"[0,10)","grades 9-11","student","condominium","other"
"[0,10)","grades 9-11","student","condominium","other"
"[20,25)","college graduate","sales","apartment","asian"
"[50,75)","college (1-3 years)","student","house","asian"
"[40,50)","college (1-3 years)","professional/managerial","house","black"
"[40,50)","college (1-3 years)","homemaker","other","white"
"[40,50)","college (1-3 years)","professional/managerial","other","white"
"[0,10)","college (1-3 years)","unemployed","house","other"
"[30,40)","college graduate","laborer","house","asian"
"[0,10)","grades 9-11","unemployed","house","white"
"[0,10)","grades 9-11","sales","house","white"
"[10,15)","grades 9-11","sales","house","white"
"[0,10)","grades 9-11","sales","condominium","american indian"
"[40,50)","high school graduate","unemployed","house","hispanic"
"[0,10)","grades 9-11","student","apartment","hispanic"
"[30,40)","grades 9-11","sales","apartment","hispanic"
"[0,10)","grades 9-11","student","house","hispanic"
"[40,50)","high school graduate","unemployed","other","hispanic"
"[25,30)","high school graduate","laborer","apartment","hispanic"
"[15,20)","grade <9","homemaker","house","hispanic"
"[20,25)","grade <9","unemployed","condominium","hispanic"
"[0,10)","grades 9-11","student","house","hispanic"
"[30,40)","grade <9","laborer","house","hispanic"
"[0,10)","grades 9-11","laborer","house","hispanic"
"[0,10)","grades 9-11","sales","apartment","hispanic"
"[10,15)","grades 9-11","unemployed","condominium","hispanic"
"[25,30)","high school graduate","sales","house","hispanic"
"[30,40)","grades 9-11","homemaker","house","hispanic"
"[0,10)","grades 9-11","student","apartment","hispanic"
"[0,10)","high school graduate","student","house","hispanic"
"[0,10)","high school graduate","student","house","hispanic"
"[0,10)","grade <9","laborer","house","hispanic"
"[0,10)","grade <9","laborer","house","hispanic"
"[30,40)","high school graduate","homemaker","house","other"
"[0,10)","grade <9","student","house","hispanic"
"[15,20)","grades 9-11","homemaker","house","hispanic"
"[0,10)","grades 9-11","student","house","hispanic"
"[0,10)","grades 9-11","student","house","hispanic"
"[50,75)","college (1-3 years)","homemaker","house","pacific islander"
"[0,10)","high school graduate","clerical/service","house","white"
"[10,15)","college (1-3 years)","clerical/service","house","american indian"
"[20,25)","high school graduate","homemaker","other","white"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[30,40)","high school graduate","professional/managerial","house","white"
"[40,50)","high school graduate","homemaker","condominium","asian"
"[40,50)","college (1-3 years)","military","condominium","white"
"[0,10)","high school graduate","sales","house","white"
"75+","high school graduate","laborer","house","white"
"[20,25)","grades 9-11","student","house","white"
"[50,75)","college graduate","clerical/service","house","white"
"[0,10)","college (1-3 years)","sales","house","white"
"[40,50)","college (1-3 years)","sales","house","white"
"[30,40)","college graduate","homemaker","house","asian"
"[40,50)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","high school graduate","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"75+","high school graduate","student","house","white"
"75+","graduate study","professional/managerial","house","white"
"[15,20)","grades 9-11","professional/managerial","house","white"
"[40,50)","college (1-3 years)","professional/managerial","house","hispanic"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","high school graduate","clerical/service","house","hispanic"
"[10,15)","college (1-3 years)","clerical/service","condominium","other"
"[0,10)","grades 9-11","laborer","house","white"
"[50,75)","high school graduate","homemaker","house","white"
"[30,40)","high school graduate","professional/managerial","house","white"
"[25,30)","college graduate","professional/managerial","house","white"
"[30,40)","high school graduate","clerical/service","house","white"
"75+","graduate study","professional/managerial","house","asian"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[30,40)","college (1-3 years)","sales","house","hispanic"
"[50,75)","college graduate","professional/managerial","house","white"
"[40,50)","college (1-3 years)","clerical/service","house","white"
"[25,30)","college (1-3 years)","professional/managerial","house","white"
"[40,50)","college (1-3 years)","clerical/service","house","white"
"[40,50)","graduate study","professional/managerial","house","white"
"[30,40)","college (1-3 years)","homemaker","house","white"
"[40,50)","college (1-3 years)","clerical/service","apartment","white"
"[30,40)","college (1-3 years)","homemaker","house","white"
"75+","college (1-3 years)","professional/managerial","house","white"
"[20,25)","high school graduate","professional/managerial","house","white"
"[50,75)","grades 9-11","sales","house","white"
"[40,50)","college (1-3 years)","student","house","white"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"75+","high school graduate","student","house","other"
"[15,20)","college (1-3 years)","clerical/service","house","white"
"75+","college (1-3 years)","professional/managerial","house","white"
"[50,75)","college (1-3 years)","professional/managerial","house","hispanic"
"[10,15)","college (1-3 years)","homemaker","condominium","white"
"[10,15)","grades 9-11","clerical/service","other","hispanic"
"[20,25)","high school graduate","sales","house","white"
"[50,75)","high school graduate","professional/managerial","house","white"
"[50,75)","college graduate","professional/managerial","house","white"
"[20,25)","high school graduate","sales","apartment","white"
"[50,75)","high school graduate","laborer","house","white"
"75+","high school graduate","professional/managerial","house","white"
"75+","college (1-3 years)","professional/managerial","house","white"
"75+","graduate study","retired","house","white"
"[50,75)","college (1-3 years)","homemaker","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grade <9","student","house","white"
"[0,10)","grade <9","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grade <9","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[40,50)","grades 9-11","unemployed","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","asian"
"[0,10)","grades 9-11","student","house","asian"
"[0,10)","grades 9-11","student","house","white"
"75+","college (1-3 years)","student","house","white"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[10,15)","college (1-3 years)","student","house","white"
"[50,75)","college (1-3 years)","homemaker","house","white"
"[0,10)","college (1-3 years)","student","house","white"
"75+","college (1-3 years)","professional/managerial","house","white"
"[40,50)","high school graduate","professional/managerial","house","asian"
"[50,75)","graduate study","professional/managerial","house","white"
"[10,15)","graduate study","professional/managerial","mobile Home","black"
"[15,20)","high school graduate","professional/managerial","house","white"
"[40,50)","college graduate","sales","house","white"
"[50,75)","college (1-3 years)","homemaker","house","white"
"[0,10)","high school graduate","homemaker","house","hispanic"
"[50,75)","high school graduate","student","house","white"
"[10,15)","college (1-3 years)","student","house","hispanic"
"[40,50)","high school graduate","sales","house","white"
"[40,50)","graduate study","military","house","white"
"[0,10)","grades 9-11","student","house","hispanic"
"[30,40)","grade <9","homemaker","house","hispanic"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[30,40)","college (1-3 years)","laborer","house","white"
"[30,40)","college graduate","professional/managerial","house","asian"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grade <9","student","house","american indian"
"[50,75)","grades 9-11","student","house","hispanic"
"[0,10)","college (1-3 years)","laborer","house","white"
"[50,75)","high school graduate","laborer","house","white"
"[50,75)","college (1-3 years)","clerical/service","house","asian"
"75+","college graduate","professional/managerial","house","white"
"[0,10)","high school graduate","military","house","white"
"[30,40)","college (1-3 years)","professional/managerial","house","hispanic"
"[40,50)","high school graduate","homemaker","house","white"
"[15,20)","high school graduate","laborer","house","hispanic"
"[0,10)","grade <9","student","house","hispanic"
"[0,10)","college (1-3 years)","professional/managerial","house","hispanic"
"[20,25)","high school graduate","clerical/service","apartment","hispanic"
"[10,15)","grades 9-11","laborer","house","hispanic"
"[40,50)","high school graduate","laborer","house","hispanic"
"[10,15)","graduate study","professional/managerial","house","hispanic"
"[10,15)","grades 9-11","sales","apartment","hispanic"
"[0,10)","grades 9-11","laborer","apartment","hispanic"
"[0,10)","grade <9","retired","house","hispanic"
"[0,10)","grades 9-11","homemaker","apartment","hispanic"
"[0,10)","college (1-3 years)","sales","house","hispanic"
"[0,10)","grade <9","homemaker","house","hispanic"
"[0,10)","high school graduate","laborer","apartment","hispanic"
"[0,10)","high school graduate","clerical/service","apartment","hispanic"
"[0,10)","grades 9-11","sales","house","hispanic"
"[0,10)","high school graduate","student","apartment","hispanic"
"[0,10)","high school graduate","student","apartment","hispanic"
"[0,10)","college (1-3 years)","student","house","hispanic"
"[0,10)","grade <9","laborer","apartment","hispanic"
"[0,10)","grades 9-11","laborer","apartment","hispanic"
"[10,15)","grade <9","homemaker","house","hispanic"
"[0,10)","grades 9-11","clerical/service","house","hispanic"
"[40,50)","college (1-3 years)","laborer","house","hispanic"
"[10,15)","grades 9-11","laborer","apartment","hispanic"
"[20,25)","high school graduate","professional/managerial","apartment","hispanic"
"[25,30)","grades 9-11","laborer","apartment","hispanic"
"[25,30)","college (1-3 years)","homemaker","house","hispanic"
"[20,25)","grades 9-11","professional/managerial","house","hispanic"
"[0,10)","college (1-3 years)","clerical/service","mobile Home","hispanic"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[30,40)","high school graduate","clerical/service","house","hispanic"
"[50,75)","college (1-3 years)","professional/managerial","house","other"
"[50,75)","college graduate","professional/managerial","house","white"
"[0,10)","high school graduate","student","house","hispanic"
"[30,40)","college (1-3 years)","military","apartment","black"
"[40,50)","college (1-3 years)","professional/managerial","house","white"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[40,50)","high school graduate","laborer","house","american indian"
"[30,40)","college (1-3 years)","professional/managerial","house","white"
"[40,50)","high school graduate","clerical/service","house","white"
"[25,30)","high school graduate","clerical/service","house","hispanic"
"[30,40)","college (1-3 years)","homemaker","house","white"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[25,30)","college (1-3 years)","homemaker","apartment","white"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[40,50)","college (1-3 years)","laborer","house","asian"
"[40,50)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","high school graduate","professional/managerial","apartment","american indian"
"[0,10)","grades 9-11","unemployed","house","white"
"[40,50)","college (1-3 years)","professional/managerial","house","white"
"[10,15)","grade <9","retired","apartment","white"
"[50,75)","college (1-3 years)","laborer","house","white"
"[30,40)","college (1-3 years)","retired","house","white"
"[40,50)","college (1-3 years)","professional/managerial","condominium","white"
"[20,25)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","grades 9-11","student","house","black"
"[0,10)","grades 9-11","student","house","black"
"[30,40)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","high school graduate","student","house","white"
"[40,50)","grades 9-11","laborer","house","white"
"[0,10)","grade <9","student","house","white"
"[0,10)","grade <9","student","apartment","white"
"[0,10)","grades 9-11","student","house","white"
"[40,50)","graduate study","professional/managerial","house","white"
"[0,10)","grades 9-11","student","house","white"
"[40,50)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","grades 9-11","student","house","white"
"[30,40)","college (1-3 years)","professional/managerial","house","white"
"[30,40)","high school graduate","military","house","white"
"[30,40)","college graduate","student","house","white"
"[30,40)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","grades 9-11","student","other","white"
"[50,75)","college (1-3 years)","laborer","house","white"
"[30,40)","grades 9-11","student","house","hispanic"
"[0,10)","grades 9-11","student","apartment","black"
"[50,75)","high school graduate","clerical/service","house","black"
"[20,25)","high school graduate","sales","house","white"
"[0,10)","high school graduate","student","condominium","pacific islander"
"[30,40)","high school graduate","homemaker","house","white"
"[10,15)","grades 9-11","student","house","white"
"[30,40)","college (1-3 years)","clerical/service","house","white"
"[30,40)","high school graduate","sales","house","asian"
"[10,15)","high school graduate","homemaker","house","hispanic"
"[10,15)","high school graduate","military","house","white"
"[25,30)","high school graduate","professional/managerial","house","hispanic"
"[0,10)","grade <9","student","house","hispanic"
"[50,75)","high school graduate","homemaker","house","white"
"[25,30)","grades 9-11","homemaker","house","white"
"[50,75)","graduate study","professional/managerial","house","white"
"[50,75)","graduate study","professional/managerial","house","white"
"75+","high school graduate","clerical/service","house","white"
"[0,10)","grades 9-11","student","house","american indian"
"[0,10)","grades 9-11","student","house","white"
"[40,50)","high school graduate","laborer","condominium","hispanic"
"[0,10)","grade <9","student","other","black"
"[25,30)","grades 9-11","sales","house","black"
"[0,10)","high school graduate","unemployed","apartment","pacific islander"
"[0,10)","high school graduate","homemaker","other","white"
"[10,15)","grades 9-11","homemaker","mobile Home","white"
"[0,10)","grade <9","student","apartment","white"
"[30,40)","college (1-3 years)","military","condominium","pacific islander"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","sales","house","asian"
"[20,25)","grades 9-11","sales","condominium","pacific islander"
"75+","college (1-3 years)","professional/managerial","house","white"
"[0,10)","grade <9","student","house","white"
"[0,10)","grade <9","student","house","white"
"[0,10)","high school graduate","laborer","apartment","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","college (1-3 years)","laborer","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","college (1-3 years)","student","house","white"
"[25,30)","high school graduate","clerical/service","house","hispanic"
"[0,10)","high school graduate","laborer","house","black"
"[25,30)","college (1-3 years)","military","house","white"
"[0,10)","grades 9-11","student","house","white"
"[30,40)","high school graduate","homemaker","mobile Home","white"
"[30,40)","graduate study","professional/managerial","house","white"
"[15,20)","college (1-3 years)","professional/managerial","apartment","white"
"[30,40)","high school graduate","professional/managerial","house","black"
"[0,10)","grades 9-11","homemaker","apartment","white"
"[20,25)","high school graduate","laborer","house","white"
"[50,75)","grades 9-11","student","condominium","white"
"[50,75)","high school graduate","professional/managerial","house","hispanic"
"[10,15)","high school graduate","clerical/service","house","other"
"[0,10)","high school graduate","student","house","white"
"[0,10)","high school graduate","student","house","white"
"[25,30)","high school graduate","homemaker","house","white"
"[40,50)","grades 9-11","laborer","house","white"
"[50,75)","high school graduate","professional/managerial","apartment","white"
"[25,30)","college (1-3 years)","sales","apartment","white"
"[20,25)","high school graduate","military","condominium","white"
"[40,50)","high school graduate","homemaker","house","white"
"[50,75)","college graduate","professional/managerial","house","asian"
"[0,10)","high school graduate","clerical/service","house","white"
"[25,30)","college (1-3 years)","sales","apartment","other"
"[30,40)","college (1-3 years)","homemaker","condominium","white"
"[40,50)","college (1-3 years)","professional/managerial","house","white"
"[30,40)","high school graduate","military","house","white"
"[0,10)","college (1-3 years)","sales","house","black"
"[30,40)","college (1-3 years)","professional/managerial","house","black"
"[40,50)","high school graduate","professional/managerial","house","white"
"[30,40)","high school graduate","homemaker","house","white"
"[40,50)","high school graduate","laborer","house","white"
"75+","high school graduate","professional/managerial","house","white"
"[40,50)","college (1-3 years)","professional/managerial","house","white"
"[40,50)","high school graduate","clerical/service","house","white"
"[10,15)","grades 9-11","sales","house","white"
"75+","college (1-3 years)","clerical/service","house","white"
"[20,25)","high school graduate","sales","house","white"
"[40,50)","college graduate","professional/managerial","mobile Home","white"
"[15,20)","college (1-3 years)","sales","apartment","white"
"[0,10)","college (1-3 years)","student","house","black"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[50,75)","college (1-3 years)","military","house","white"
"[50,75)","college (1-3 years)","clerical/service","house","white"
"[30,40)","high school graduate","clerical/service","house","white"
"[30,40)","college (1-3 years)","professional/managerial","house","white"
"[30,40)","college (1-3 years)","homemaker","house","white"
"[40,50)","graduate study","professional/managerial","house","white"
"[10,15)","college (1-3 years)","military","other","white"
"[40,50)","college (1-3 years)","homemaker","house","white"
"[25,30)","high school graduate","homemaker","house","white"
"[0,10)","high school graduate","sales","house","white"
"[50,75)","college (1-3 years)","homemaker","house","white"
"[30,40)","college (1-3 years)","professional/managerial","house","white"
"[10,15)","college (1-3 years)","homemaker","condominium","white"
"[50,75)","high school graduate","homemaker","house","white"
"[50,75)","college graduate","military","house","white"
"[30,40)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","college (1-3 years)","unemployed","condominium","white"
"[10,15)","college (1-3 years)","military","other","white"
"[10,15)","college graduate","military","other","white"
"[50,75)","college graduate","professional/managerial","house","white"
"[50,75)","graduate study","professional/managerial","house","white"
"[0,10)","college (1-3 years)","student","apartment","white"
"75+","college (1-3 years)","homemaker","house","white"
"[25,30)","college (1-3 years)","laborer","house","white"
"[0,10)","college (1-3 years)","sales","house","white"
"[30,40)","high school graduate","homemaker","house","white"
"[0,10)","college (1-3 years)","sales","house","white"
"[30,40)","college (1-3 years)","homemaker","house","white"
